"username","acquired_from_username","acquired_at"
"adam","adam","2026-02-13 00:00:00+00"
"root4dukes","adam","2026-02-13 03:00:00+00"
"noahlops","adam","2026-02-13 03:00:00+00"
"janisels","adam","2026-02-13 03:00:00+00"
"dystha","adam","2026-02-13 03:00:00+00"
"sandeeee","adam","2026-02-13 03:00:00+00"
"callanightshade","adam","2026-02-13 03:00:00+00"
"coscorrodrift","adam","2026-02-13 03:00:00+00"
"officialjmb","adam","2026-02-13 03:00:00+00"
"taylorlea","adam","2026-02-13 03:00:00+00"
"serpent10i","adam","2026-02-13 03:00:00+00"
"hi.im.pat","adam","2026-02-13 03:00:00+00"
"willoftheson","adam","2026-02-13 03:00:00+00"
"turtlebyte","adam","2026-02-13 03:00:00+00"
"fullycustom","adam","2026-02-13 03:00:00+00"
"mikeeyj","adam","2026-02-13 03:00:00+00"
"official.bolt","adam","2026-02-13 03:00:00+00"
"daltonalphaniner","adam","2026-02-13 03:00:00+00"
"aquatar","adam","2026-02-13 03:00:00+00"
"myst.ic","adam","2026-02-13 03:00:00+00"
"scollywogz","adam","2026-02-13 03:00:00+00"
"suburbanapple","adam","2026-02-13 03:00:00+00"
"kartoffel13","adam","2026-02-13 03:00:00+00"
"pink.sakura","daltonalphaniner","2026-02-13 05:26:10.315056+00"
"colbybrocksbae","suburbanapple","2026-02-13 05:26:10.39886+00"
"r3ign_0f_t3rr0r","sandeeee","2026-02-13 05:27:45.910961+00"
"cats4life4418","official.bolt","2026-02-13 05:32:56.758444+00"
"lok_is_a_person1989","taylorlea","2026-02-13 05:44:26.525433+00"
"wildeman","turtlebyte","2026-02-13 05:57:21.29762+00"
"southpawsupernova","janisels","2026-02-13 06:05:47.001384+00"
"iammaknae","coscorrodrift","2026-02-13 06:12:50.454233+00"
"samlovechickennuggies","colbybrocksbae","2026-02-13 07:26:46.769266+00"
"runyabunya","kartoffel13","2026-02-13 07:27:25.698683+00"
"shelleyshellsxxx","r3ign_0f_t3rr0r","2026-02-13 07:30:50.366517+00"
"beast964","cats4life4418","2026-02-13 07:33:21.993915+00"
"thefreemoney","pink.sakura","2026-02-13 07:36:27.490809+00"
"moonmare2005","lok_is_a_person1989","2026-02-13 07:48:14.60584+00"
"taco13_13","iammaknae","2026-02-13 08:19:19.796019+00"
"theman.27","aquatar","2026-02-13 08:23:55.911914+00"
"cassandra_2024","fullycustom","2026-02-13 09:02:56.997768+00"
"smh.932","samlovechickennuggies","2026-02-13 09:26:54.813565+00"
"augustine0697","shelleyshellsxxx","2026-02-13 09:32:44.844409+00"
"ty_____1","beast964","2026-02-13 09:34:19.293121+00"
"m1dnight.ra1nn","moonmare2005","2026-02-13 09:48:28.185419+00"
".reputtation.","officialjmb","2026-02-13 10:45:44.496194+00"
"sharanya_01","wildeman","2026-02-13 11:03:15.299349+00"
"kimjonreeves","theman.27","2026-02-13 11:07:39.998608+00"
"audibly","taco13_13","2026-02-13 11:07:54.668321+00"
"straleeee","smh.932","2026-02-13 11:27:30.007909+00"
